term,method,mbias,mse,mvar,cover
pred,imp-no_mod-no_y-no,-0.1418836490531842,1.5341824039037286,2.15486819338878,1
pred,imp-no_mod-no_y-yes,-0.10020935735959974,1.007062207132958,1.511588998345926,0.9791666666666666
pred,imp-no_mod-yes_y-no,-0.13993536544001284,1.4021507950251326,2.1362075529115243,1
pred,imp-no_mod-yes_y-yes,-0.0918330927070254,0.9109157743414648,1.4995502444397293,1
pred,imp-yes_mod-no_y-no,0.027522734951088017,1.5340828983426105,2.2092512504810222,1
pred,imp-yes_mod-no_y-yes,-0.01594056475267447,0.97337452408541425,1.558047532786526,0.9791666666666666
pred,imp-yes_mod-yes_y-no,0.02286265105533511,1.4772498087155097,1.9410558397538202,1
pred,imp-yes_mod-yes_y-yes,-0.02121938981460911,0.9107715718370355,1.299480984299112,1
x2,imp-no_mod-no_y-no,0.6617604005523298,0.4507016129236344,0.062391841982691224,0.14583333333333334
x2,imp-no_mod-no_y-yes,0.16396771613611416,0.09011412598132991,0.06738131811510151,0.9583333333333334
x2,imp-no_mod-yes_y-no,0.6592749046865167,0.4466471814259436,0.06189793312828825,0.125
x2,imp-no_mod-yes_y-yes,0.17207304400583137,0.08985201215933768,0.0661946656271779,0.9583333333333334
x2,imp-yes_mod-no_y-no,0.669020592336241,0.46893745708139967,0.06502468359037293,0.25
x2,imp-yes_mod-no_y-yes,0.1658479338799102,0.07529235904620409,0.061250202464507686,0.9583333333333334
x2,imp-yes_mod-yes_y-no,0.6594506961156693,0.4447892674842503,0.05318869583777677,0.0625
x2,imp-yes_mod-yes_y-yes,0.15227665020262432,0.06557660218425103,0.055697426823280174,0.9583333333333334
